year,city,country,avg_temp
1808,Cairo,Egypt,17.11
1809,Cairo,Egypt,19.87
1810,Cairo,Egypt,19.93
1811,Cairo,Egypt,20.00
1812,Cairo,Egypt,19.93
1813,Cairo,Egypt,20.51
1814,Cairo,Egypt,20.43
1815,Cairo,Egypt,20.30
1816,Cairo,Egypt,20.51
1817,Cairo,Egypt,21.88
1818,Cairo,Egypt,11.60
1819,Cairo,Egypt,20.31
1820,Cairo,Egypt,20.58
1821,Cairo,Egypt,20.63
1822,Cairo,Egypt,20.72
1823,Cairo,Egypt,20.71
1824,Cairo,Egypt,21.44
1825,Cairo,Egypt,21.00
1826,Cairo,Egypt,20.94
1827,Cairo,Egypt,21.63
1828,Cairo,Egypt,20.99
1829,Cairo,Egypt,20.91
1830,Cairo,Egypt,21.25
1831,Cairo,Egypt,20.52
1832,Cairo,Egypt,20.20
1833,Cairo,Egypt,20.81
1834,Cairo,Egypt,20.69
1835,Cairo,Egypt,20.17
1836,Cairo,Egypt,20.59
1837,Cairo,Egypt,20.27
1838,Cairo,Egypt,20.21
1839,Cairo,Egypt,20.43
1840,Cairo,Egypt,20.56
1841,Cairo,Egypt,20.91
1842,Cairo,Egypt,20.92
1843,Cairo,Egypt,20.83
1844,Cairo,Egypt,20.66
1845,Cairo,Egypt,20.90
1846,Cairo,Egypt,21.57
1847,Cairo,Egypt,21.10
1848,Cairo,Egypt,20.89
1849,Cairo,Egypt,20.90
1850,Cairo,Egypt,20.39
1851,Cairo,Egypt,21.11
1852,Cairo,Egypt,21.04
1853,Cairo,Egypt,21.53
1854,Cairo,Egypt,20.74
1855,Cairo,Egypt,21.04
1856,Cairo,Egypt,20.49
1857,Cairo,Egypt,20.29
1858,Cairo,Egypt,20.90
1859,Cairo,Egypt,20.98
1860,Cairo,Egypt,21.33
1861,Cairo,Egypt,20.21
1862,Cairo,Egypt,20.22
1863,Cairo,Egypt,20.60
1864,Cairo,Egypt,21.25
1865,Cairo,Egypt,21.55
1866,Cairo,Egypt,21.35
1867,Cairo,Egypt,21.45
1868,Cairo,Egypt,20.94
1869,Cairo,Egypt,21.41
1870,Cairo,Egypt,21.30
1871,Cairo,Egypt,20.87
1872,Cairo,Egypt,21.14
1873,Cairo,Egypt,21.40
1874,Cairo,Egypt,20.77
1875,Cairo,Egypt,19.99
1876,Cairo,Egypt,21.05
1877,Cairo,Egypt,21.39
1878,Cairo,Egypt,21.54
